Model,Accuracy,ROC AUC Score,High_precision,High_recall,High_f1-score,High_support,Low_precision,Low_recall,Low_f1-score,Low_support,Medium_precision,Medium_recall,Medium_f1-score,Medium_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support
RandomForest,0.8666666666666667,0.9781925925925926,0.9375,0.8,0.8633093525179856,75.0,0.8961038961038961,0.92,0.9078947368421053,75.0,0.7857142857142857,0.88,0.8301886792452831,75.0,0.8731060606060606,0.8666666666666667,0.8671309228684579,225.0,0.8731060606060606,0.8666666666666667,0.867130922868458,225.0
SVM,0.92,0.9787555555555555,0.9210526315789473,0.9333333333333333,0.9271523178807947,75.0,0.9024390243902439,0.9866666666666667,0.9426751592356688,75.0,0.9402985074626866,0.84,0.8873239436619719,75.0,0.921263387810626,0.9199999999999999,0.9190504735928119,225.0,0.9212633878106259,0.92,0.9190504735928117,225.0
XGBoost,0.8933333333333333,0.9838518518518519,0.927536231884058,0.8533333333333334,0.8888888888888888,75.0,0.9,0.96,0.9290322580645162,75.0,0.8552631578947368,0.8666666666666667,0.8609271523178808,75.0,0.8942664632595982,0.8933333333333334,0.8929494330904286,225.0,0.8942664632595982,0.8933333333333333,0.8929494330904286,225.0
